file,species,score
SiteA_20250415_063005.wav,Phylloscopus trochilus,0.47
SiteA_20250415_090700.wav,Erithacus rubecula,0.95
SiteA_20250415_094745.wav,Erithacus rubecula,0.14
SiteA_20250415_053025.wav,Erithacus rubecula,0.58
SiteA_20250415_051918.wav,Erithacus rubecula,0.9
SiteA_20250415_090409.wav,Erithacus rubecula,0.6
SiteA_20250415_064314.wav,Erithacus rubecula,0.51
SiteA_20250415_090542.wav,Fringilla coelebs,0.51
SiteA_20250416_063613.wav,Turdus philomelos,0.62
SiteA_20250416_080346.wav,Erithacus rubecula,0.32
SiteA_20250416_041529.wav,Erithacus rubecula,0.14
SiteA_20250416_092050.wav,Erithacus rubecula,0.4
SiteA_20250416_045412.wav,Erithacus rubecula,0.96
SiteA_20250416_074742.wav,Erithacus rubecula,0.9
SiteA_20250416_065451.wav,Erithacus rubecula,0.72
SiteA_20250416_052538.wav,Erithacus rubecula,0.68
SiteA_20250416_075740.wav,Fringilla coelebs,0.69
SiteA_20250416_082530.wav,Fringilla coelebs,0.74
SiteA_20250417_053353.wav,Turdus philomelos,0.63
SiteA_20250417_051414.wav,Erithacus rubecula,0.97
SiteA_20250417_061334.wav,Erithacus rubecula,0.91
SiteA_20250417_054953.wav,Erithacus rubecula,0.72
SiteA_20250417_061135.wav,Fringilla coelebs,0.12
SiteA_20250418_091513.wav,Turdus philomelos,0.78
SiteA_20250418_095930.wav,Erithacus rubecula,0.31
SiteA_20250418_075711.wav,Erithacus rubecula,0.23
SiteA_20250418_074319.wav,Erithacus rubecula,0.47
SiteA_20250418_042817.wav,Erithacus rubecula,0.47
SiteA_20250418_071752.wav,Erithacus rubecula,0.43
SiteA_20250419_081212.wav,Erithacus rubecula,0.34
SiteA_20250419_071531.wav,Erithacus rubecula,0.87
SiteA_20250419_055910.wav,Erithacus rubecula,0.14
SiteA_20250419_094643.wav,Erithacus rubecula,0.5
SiteA_20250419_062041.wav,Erithacus rubecula,0.82
SiteA_20250419_094711.wav,Erithacus rubecula,0.21
SiteA_20250420_070011.wav,Erithacus rubecula,0.91
SiteA_20250420_073719.wav,Erithacus rubecula,0.44
SiteA_20250420_071344.wav,Erithacus rubecula,0.7
SiteA_20250420_055307.wav,Erithacus rubecula,0.19
SiteA_20250420_055752.wav,Erithacus rubecula,0.45
SiteA_20250420_092927.wav,Erithacus rubecula,0.35
SiteA_20250420_053114.wav,Erithacus rubecula,0.83
SiteA_20250420_052303.wav,Erithacus rubecula,0.5
SiteA_20250420_064305.wav,Erithacus rubecula,0.83
SiteA_20250420_044215.wav,Fringilla coelebs,0.81
SiteA_20250421_080653.wav,Turdus philomelos,0.78
SiteA_20250421_080150.wav,Erithacus rubecula,0.1
SiteA_20250421_040415.wav,Erithacus rubecula,0.53
SiteA_20250421_084844.wav,Erithacus rubecula,0.3
SiteA_20250421_044858.wav,Erithacus rubecula,0.44
SiteA_20250421_042702.wav,Erithacus rubecula,0.65
SiteA_20250421_084916.wav,Erithacus rubecula,0.42
SiteA_20250421_091800.wav,Erithacus rubecula,0.2
SiteA_20250421_075346.wav,Erithacus rubecula,0.32
SiteA_20250421_091338.wav,Erithacus rubecula,0.7
SiteA_20250422_093339.wav,Turdus philomelos,0.19
SiteA_20250422_054116.wav,Turdus philomelos,0.49
SiteA_20250422_072520.wav,Turdus philomelos,0.99
SiteA_20250422_040837.wav,Phylloscopus trochilus,0.9
SiteA_20250422_062916.wav,Erithacus rubecula,0.22
SiteA_20250422_062650.wav,Erithacus rubecula,0.69
SiteA_20250422_061542.wav,Erithacus rubecula,0.41
SiteA_20250422_050057.wav,Erithacus rubecula,0.69
