file,species,score,identity
SiteA_20250428_073659.wav,Erithacus rubecula,0.35,FALSE
SiteA_20250418_042817.wav,Erithacus rubecula,0.47,TRUE
SiteA_20250424_070048.wav,Erithacus rubecula,0.18,FALSE
SiteA_20250429_095013.wav,Erithacus rubecula,0.56,FALSE
SiteA_20250429_090036.wav,Erithacus rubecula,0.64,TRUE
SiteA_20250419_071531.wav,Erithacus rubecula,0.87,TRUE
SiteA_20250416_045412.wav,Erithacus rubecula,0.96,TRUE
SiteA_20250429_044907.wav,Erithacus rubecula,0.36,FALSE
SiteA_20250424_063046.wav,Erithacus rubecula,0.24,FALSE
SiteA_20250427_054232.wav,Erithacus rubecula,0.66,TRUE
SiteA_20250430_062232.wav,Erithacus rubecula,0.76,TRUE
SiteA_20250424_041255.wav,Erithacus rubecula,0.23,FALSE
SiteA_20250423_092330.wav,Erithacus rubecula,0.53,TRUE
SiteA_20250416_052538.wav,Erithacus rubecula,0.68,TRUE
SiteA_20250427_040128.wav,Erithacus rubecula,0.77,TRUE
SiteA_20250426_073634.wav,Erithacus rubecula,0.5,TRUE
SiteA_20250420_052303.wav,Erithacus rubecula,0.5,FALSE
SiteA_20250508_054554.wav,Erithacus rubecula,0.22,FALSE
SiteA_20250510_054851.wav,Erithacus rubecula,0.78,TRUE
SiteA_20250421_091800.wav,Erithacus rubecula,0.2,FALSE
SiteA_20250506_075058.wav,Erithacus rubecula,0.31,TRUE
SiteA_20250429_062413.wav,Erithacus rubecula,0.46,FALSE
SiteA_20250525_064622.wav,Erithacus rubecula,0.4,TRUE
SiteA_20250501_043252.wav,Erithacus rubecula,0.59,TRUE
SiteA_20250520_062419.wav,Erithacus rubecula,0.37,FALSE
SiteA_20250424_050500.wav,Erithacus rubecula,0.72,TRUE
SiteA_20250416_080346.wav,Erithacus rubecula,0.32,FALSE
SiteA_20250419_062041.wav,Erithacus rubecula,0.82,TRUE
SiteA_20250508_040014.wav,Erithacus rubecula,0.45,FALSE
SiteA_20250424_080554.wav,Erithacus rubecula,0.43,TRUE
SiteA_20250420_073719.wav,Erithacus rubecula,0.44,TRUE
SiteA_20250425_061633.wav,Erithacus rubecula,0.32,FALSE
SiteA_20250505_080656.wav,Erithacus rubecula,0.19,TRUE
SiteA_20250425_052559.wav,Erithacus rubecula,0.31,FALSE
SiteA_20250501_091341.wav,Erithacus rubecula,0.24,FALSE
SiteA_20250417_051414.wav,Erithacus rubecula,0.97,TRUE
SiteA_20250430_051052.wav,Erithacus rubecula,0.96,TRUE
SiteA_20250419_081212.wav,Erithacus rubecula,0.34,FALSE
SiteA_20250429_081547.wav,Erithacus rubecula,0.25,FALSE
SiteA_20250416_041529.wav,Erithacus rubecula,0.14,FALSE
SiteA_20250429_044538.wav,Erithacus rubecula,0.53,TRUE
SiteA_20250427_081136.wav,Erithacus rubecula,0.44,FALSE
SiteA_20250501_050946.wav,Erithacus rubecula,0.38,FALSE
SiteA_20250422_062916.wav,Erithacus rubecula,0.22,FALSE
SiteA_20250430_091523.wav,Erithacus rubecula,0.15,TRUE
SiteA_20250415_090700.wav,Erithacus rubecula,0.95,TRUE
SiteA_20250415_053025.wav,Erithacus rubecula,0.58,TRUE
SiteA_20250429_055328.wav,Erithacus rubecula,0.25,FALSE
SiteA_20250417_061334.wav,Erithacus rubecula,0.91,TRUE
SiteA_20250502_083907.wav,Erithacus rubecula,0.46,FALSE
